locus_tag,log2FoldChange,start,end,gene_length,padj,COG_category,Preferred_name,PFAMs
OOFNCCCI_00001,-2.191736767,28,390,362,3.31E-17,NA,NA,NA
OOFNCCCI_00002,-2.598519294,624,857,233,1.52E-28,NA,NA,NA
OOFNCCCI_00003,-1.905873458,993,1595,602,7.78E-25,NA,NA,NA
OOFNCCCI_00004,-3.438551109,1607,2194,587,1.60E-43,NA,NA,NA
OOFNCCCI_00005,-2.248956802,2298,3260,962,7.19E-29,H,ribF,"FAD_syn,Flavokinase"
OOFNCCCI_00006,-2.872349377,3297,4352,1055,1.94E-51,E,argE,"M20_dimer,Peptidase_M20,Peptidase_M28"
OOFNCCCI_00007,-1.506914875,4357,5640,1283,7.15E-19,S,NA,"Polysacc_synt,Polysacc_synt_C"
OOFNCCCI_00008,-0.942198923,5706,7373,1667,4.52E-07,FJ,udk2,PRK
OOFNCCCI_00009,-0.680438698,7457,9148,1691,0.000216712,P,NA,"Na_Pi_cotrans,PhoU"
OOFNCCCI_00010,-0.055700519,9200,11005,1805,0.867852723,P,NA,"Na_Pi_cotrans,PhoU"
OOFNCCCI_00011,-1.066426345,11322,11522,200,0.64458536,NA,NA,NA
OOFNCCCI_00012,-1.419637215,11517,12476,959,1.53E-05,NA,NA,BetR
OOFNCCCI_00013,0.049913833,12604,14781,2177,0.876239232,T,NA,"GAF,HATPase_c,HisKA,PAS_3,PAS_4"
OOFNCCCI_00014,0.03526297,14984,16438,1454,0.917558299,K,rpoN,"Sigma54_AID,Sigma54_CBD,Sigma54_DBD"
OOFNCCCI_00015,-0.360928519,16451,17071,620,0.707070922,I,NA,PAP2
OOFNCCCI_00016,-6.60463589,17088,17468,380,0.148673554,E,gcvH,GCV_H
OOFNCCCI_00017,-1.307103143,17469,17975,506,0.005708915,F,purE,AIRC
OOFNCCCI_00018,-0.231499764,18162,20000,1838,0.302159562,I,ispG,GcpE
OOFNCCCI_00019,-1.441169469,20040,20474,434,0.296771188,F,dut,dUTPase
OOFNCCCI_00020,-0.086808863,20604,22364,1760,0.734091911,NU,NA,"TPR_16,TPR_19,TPR_2,TPR_6,TPR_8"
OOFNCCCI_00021,-0.502417363,22361,23239,878,0.248206322,S,NA,DUF4292
OOFNCCCI_00022,-0.123958943,23242,24540,1298,0.677863273,D,yibP,Peptidase_M23
OOFNCCCI_00023,-0.093234798,24597,25127,530,0.938354584,P,NA,Chromate_transp
OOFNCCCI_00024,-1.218268585,25129,25680,551,0.128563678,P,NA,Chromate_transp
OOFNCCCI_00025,0.775185942,25681,26118,437,0.682662173,S,NA,DUF5053
OOFNCCCI_00026,-0.320065455,26155,26304,149,0.681629234,NA,NA,NA
OOFNCCCI_00027,0.229861895,26618,30703,4085,0.336115687,NA,NA,NA
OOFNCCCI_00028,-0.872335411,30904,31146,242,0.421657813,NA,NA,NA
OOFNCCCI_00029,-0.007809597,31189,33564,2375,0.981071292,L,NA,"DUF3987,PriCT_2,VirE_N"
OOFNCCCI_00030,-0.133403905,33635,33871,236,0.961484733,S,NA,DUF4248
OOFNCCCI_00031,-0.244083132,34057,35154,1097,0.444963394,M,NA,HlyD_D23
OOFNCCCI_00032,-0.265410482,35163,38192,3029,0.349313264,V,bepE_4,ACR_tran
OOFNCCCI_00033,-0.351253631,38189,39529,1340,0.352813518,MU,tolC,OEP
OOFNCCCI_00034,0.131936863,39542,40438,896,0.727850021,K,NA,"HTH_18,Peripla_BP_3"
OOFNCCCI_00035,-0.164982576,40825,42042,1217,0.685493845,G,NA,Amidohydro_1
OOFNCCCI_00036,0.615873216,42175,43515,1340,0.022362669,S,NA,GFO_IDH_MocA
OOFNCCCI_00037,0.418250071,43572,44912,1340,0.100117183,G,NA,MFS_1
OOFNCCCI_00038,0.56826065,44918,45706,788,0.366089876,G,NA,Glucosamine_iso
OOFNCCCI_00039,0.720611175,45719,46714,995,0.077624589,S,NA,GFO_IDH_MocA
OOFNCCCI_00040,0.127916677,46722,49781,3059,0.6700769,P,NA,"CarbopepD_reg_2,Plug,TonB_dep_Rec"
OOFNCCCI_00041,-0.264458178,49798,51510,1712,0.251616297,E,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_00042,-0.316372302,51523,52890,1367,0.133741345,S,NA,"GFO_IDH_MocA,TAT_signal"
OOFNCCCI_00043,-0.950136935,53273,54064,791,0.000349474,S,NA,Methyltransf_24
OOFNCCCI_00044,-0.072928324,54113,54676,563,0.930153291,S,yvqK,Cob_adeno_trans
OOFNCCCI_00045,-0.165763945,54750,54971,221,0.822623395,S,NA,DUF2795
OOFNCCCI_00046,-0.634234806,55171,56079,908,0.019353103,P,NA,PorP_SprF
OOFNCCCI_00047,-0.307621105,56107,57510,1403,0.332230282,M,gldK,FGE-sulfatase
OOFNCCCI_00048,-0.280237636,57567,58637,1070,0.511563361,S,gldL,NA
OOFNCCCI_00049,-0.862500647,58661,59950,1289,0.00256765,S,gldM,"GldM_C,GldM_N"
OOFNCCCI_00050,-6.173580527,59947,60228,281,0.271241018,S,gldM,"GldM_C,GldM_N"
OOFNCCCI_00051,-0.435561679,60273,61367,1094,0.148752045,S,gldN,NA
OOFNCCCI_00052,-0.184431384,61720,64944,3224,0.500162112,P,NA,"CarbopepD_reg_2,Plug,TonB_dep_Rec"
OOFNCCCI_00053,0.090183964,64975,66696,1721,0.768721021,E,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_00054,0.062059127,66798,67130,332,0.933493061,NA,NA,NA
OOFNCCCI_00055,-0.382086138,67362,67847,485,0.396341855,NU,NA,"Glucosaminidase,Rod-binding"
OOFNCCCI_00056,-0.201558698,67936,68160,224,0.958574205,S,NA,DUF4248
OOFNCCCI_00057,-0.512528248,68195,68653,458,0.188912598,L,NA,Bac_DNA_binding
OOFNCCCI_00058,0.599338615,68906,69259,353,0.457418792,K,NA,HTH_19
OOFNCCCI_00059,0.107249952,69246,69983,737,0.890238713,E,NA,Peptidase_M78
OOFNCCCI_00060,-0.260782201,69946,70356,410,0.768555829,NA,NA,NA
OOFNCCCI_00061,0.021089276,70528,72735,2207,0.946039866,S,NA,"DUF3987,PriCT_2,VirE,VirE_N"
OOFNCCCI_00062,0.086748188,72923,73273,350,0.863312708,NA,NA,NA
OOFNCCCI_00063,0.282289593,73783,78096,4313,0.265549428,NA,NA,NA
OOFNCCCI_00064,0.302253724,78615,79472,857,0.395116186,S,NA,PDDEXK_2
OOFNCCCI_00065,-0.480786687,79685,82417,2732,0.036412932,E,NA,Transglut_core
OOFNCCCI_00066,-0.370590325,82487,84004,1517,0.082074517,P,cvrA,"Na_H_Exchanger,TrkA_C"
OOFNCCCI_00067,-0.174911094,84185,85402,1217,0.491617688,CO,NA,AhpC-TSA
OOFNCCCI_00068,0.259690909,85621,87171,1550,0.349091904,T,NA,"PglZ,Response_reg"
OOFNCCCI_00069,0.854254533,87251,87670,419,0.178481334,S,yjeE,TsaE
OOFNCCCI_00070,-7.835685877,87674,87886,212,0.140338522,S,NA,Imm17
OOFNCCCI_00071,0.924925709,88006,88884,878,0.00117014,NA,NA,NA
OOFNCCCI_00072,-0.055271638,88977,91157,2180,0.85003501,J,rnr,"OB_RNB,RNB,S1"
OOFNCCCI_00073,-0.08241477,91254,92189,935,0.817835799,G,NA,SGL
OOFNCCCI_00074,0.22866577,92611,93741,1130,0.38278724,K,yghO,Acetyltransf_1
OOFNCCCI_00075,-0.189680199,93751,95616,1865,0.523159479,L,parE,"DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim"
OOFNCCCI_00076,-0.550816625,95640,96101,461,0.763299577,H,coaD,CTP_transf_like
OOFNCCCI_00077,0.280680785,96125,97714,1589,0.121674143,M,ctpA,"PDZ_2,Peptidase_S41"
OOFNCCCI_00078,0.551730893,97967,98782,815,0.071433526,NA,NA,NA
OOFNCCCI_00079,0.981067189,98805,99116,311,0.855043409,K,NA,"HTH_19,HTH_3"
OOFNCCCI_00080,2.475667012,99113,99478,365,0.170511489,S,NA,Gp49
OOFNCCCI_00081,0.274100242,99596,100372,776,0.272322397,S,NA,CN_hydrolase
OOFNCCCI_00082,0.584409449,100519,101157,638,0.017821085,S,NA,HAD_2
OOFNCCCI_00083,0.30144164,101679,102224,545,0.392183081,NA,NA,NA
OOFNCCCI_00084,0.207421614,103047,104420,1373,0.546861138,S,NA,"NHL,TIG"
OOFNCCCI_00085,-0.185611462,104443,107526,3083,0.408987755,H,NA,"CarbopepD_reg_2,Plug,TonB_dep_Rec"
OOFNCCCI_00086,0.215483744,107538,109559,2021,0.401930803,P,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_00087,-0.012889847,109598,110479,881,0.979764178,S,NA,"DUF1735,DUF4361"
OOFNCCCI_00088,-0.017802284,110617,113205,2588,0.96503851,P,NA,NA
OOFNCCCI_00089,0.697414518,113206,114297,1091,3.91E-05,T,NA,Y_phosphatase3
OOFNCCCI_00090,1.118123545,114509,115396,887,9.01E-06,S,NA,HEPN
OOFNCCCI_00091,0.554009964,115454,116620,1166,0.057504436,S,NA,"Couple_hipA,HipA_C"
OOFNCCCI_00092,1.897950653,116598,116933,335,0.193178875,K,NA,HTH_3
